biomarker,variable_name,primary_pathway,secondary_pathway,demographic,phase,min_age,max_age,operator,low_value,high_value,qualitative_value,label,color,optimal_range,units,diagnosis,superclinic_code,remark,Description,Source
AVERAGE BLOOD GLUCOSE (ABG),ABG,METABOLIC HEALTH,"CELLULAR HEALTH, VITAL ORGANS (LIVER), VITAL ORGANS (KIDNEY), HORMONES, INFLAMMAGING, CARDIOVASCULAR, NERVOUS SYSTEM, NUTRITION, GUT HEALTH",ALL,ALL,10,120,between,151,180,,HIGH,ORANGE,90-120,mg/dL,,ABG_HIGH,"High ABG indicates significant hyperglycemia and poor glucose control, typically within diabetic or advanced prediabetic ranges. This state promotes endothelial dysfunction, glycation of proteins, and systemic inflammation. Clinically, it confers elevated risk for retinopathy, nephropathy, neuropathy, and accelerated cardiovascular disease.","Reflects long-term blood sugar levels, supports diabetes management.",THYROCARE
AVERAGE BLOOD GLUCOSE (ABG),ABG,METABOLIC HEALTH,"CELLULAR HEALTH, VITAL ORGANS (LIVER), VITAL ORGANS (KIDNEY), HORMONES, INFLAMMAGING, CARDIOVASCULAR, NERVOUS SYSTEM, NUTRITION, GUT HEALTH",ALL,ALL,10,120,gt,180,,,VERY HIGH,RED,90-120,mg/dL,,ABG_VERY_HIGH,"Very high ABG reflects severe, persistent hyperglycemia with marked METABOLIC HEALTH dysfunction. It indicates uncontrolled diabetes and poses immediate and long-term risks including ketoacidosis, accelerated atherosclerosis, renal impairment, and neurological damage. This level represents critical disruption of glucose-insulin homeostasis with high morbidity potential.","Reflects long-term blood sugar levels, supports diabetes management.",THYROCARE
ANTI CCP (ACCP),ACCP,IMMUNITY,"INFLAMMAGING, MUSCULOSKELETAL, CELLULAR HEALTH",ALL,ALL,10,120,lt,,20,,OPTIMAL,GREEN,<20,U/mL,,ACCP_OPTIMAL,An optimal (negative) Anti-CCP result indicates absence of autoantibodies targeting citrullinated peptides. This suggests low risk for rheumatoid arthritis and reduced likelihood of autoimmune-driven joint inflammation. It reflects stable immune tolerance and absence of detectable early autoimmune activation in connective tissue.,"Detects specific autoantibodies, indicates and predicts rheumatoid arthritis severity.",THYROCARE
ANTI CCP (ACCP),ACCP,IMMUNITY,"INFLAMMAGING, MUSCULOSKELETAL, CELLULAR HEALTH",ALL,ALL,10,120,between,20,10000,,HIGH,ORANGE,<20,U/mL,ANTI CCP - POSITIVE,ACCP_HIGH,"A high Anti-CCP result strongly predicts rheumatoid arthritis or related autoimmune disease. It indicates active autoantibody-mediated immune dysregulation with potential for chronic joint inflammation, synovial damage, and erosive arthropathy. This marker often correlates with disease severity and higher risk of progressive disability if untreated.","Detects specific autoantibodies, indicates and predicts rheumatoid arthritis severity.",THYROCARE
EOSINOPHILS - ABSOLUTE COUNT,AEOS,IMMUNITY,"INFLAMMAGING, GUT HEALTH, HORMONES",ALL,ALL,10,120,between,0.02,0.5,,OPTIMAL,GREEN,0.02-0.5,X 10³ / µL,,AEOS_OPTIMAL,"An optimal eosinophil count reflects balanced immune surveillance. It indicates healthy capacity to mount responses against parasites and allergens without excessive tissue infiltration. This balance supports mucosal immunity, respiratory health, and controlled inflammatory signaling while avoiding unnecessary tissue damage or systemic allergic overreaction.","Measures eosinophil count, diagnoses allergies, parasites, immune disorders.",THYROCARE
EOSINOPHILS - ABSOLUTE COUNT,AEOS,IMMUNITY,"INFLAMMAGING, GUT HEALTH, HORMONES",ALL,ALL,10,120,gt,0.5,,,HIGH,ORANGE,0.02-0.5,X 10³ / µL,,AEOS_HIGH,"Elevated eosinophils (eosinophilia) suggest allergic disease, parasitic infection, chronic inflammation, drug hypersensitivity, or myeloproliferative disorders. Functionally, this reflects heightened immune activation with increased tissue eosinophil recruitment, which may drive asthma, eczema, sinusitis, or systemic organ damage if persistent and uncontrolled.","Measures eosinophil count, diagnoses allergies, parasites, immune disorders.",THYROCARE
EOSINOPHILS - ABSOLUTE COUNT,AEOS,IMMUNITY,"INFLAMMAGING, GUT HEALTH, HORMONES",ALL,ALL,10,120,lt,,0.02,,LOW,ORANGE,0.02-0.5,X 10³ / µL,,AEOS_LOW,"Low eosinophil counts (eosinopenia) are often benign but may indicate stress response, elevated endogenous/exogenous corticosteroids, or acute infection. Functionally, it reflects reduced availability of cells that mediate allergic and parasitic defense. Usually transient, it is rarely clinically significant unless accompanied by other hematologic abnormalities.","Measures eosinophil count, diagnoses allergies, parasites, immune disorders.",THYROCARE
ALDOSTERONE,ALDOS,HORMONES,"VITAL ORGANS (KIDNEY), CARDIOVASCULAR, METABOLIC HEALTH, INFLAMMAGING",ALL,ALL,10,120,lt,,15,,LOW,ORANGE,15-30,ng/dL,,ALDOS_LOW,"Low aldosterone suggests impaired adrenal output, RAAS suppression, or salt-wasting syndromes. It may arise from adrenal insufficiency, medication effects (e.g., ACE inhibitors, ARBs), or chronic kidney disease. Functionally, this can lead to low blood pressure, dizziness, hyponatremia, hyperkalemia, and reduced vascular tone.","Regulates blood pressure, supports adrenal, kidney, and electrolyte assessment.",THYROCARE
ALDOSTERONE,ALDOS,HORMONES,"VITAL ORGANS (KIDNEY), CARDIOVASCULAR, METABOLIC HEALTH, INFLAMMAGING",ALL,ALL,10,120,between,15,30,,OPTIMAL,GREEN,15-30,ng/dL,,ALDOS_OPTIMAL,"Optimal aldosterone reflects healthy RAAS activity and balanced regulation of sodium, potassium, and vascular tone. This ensures stable blood pressure, effective fluid retention, and electrolyte balance. Functionally, it indicates proper adrenal responsiveness to stressors such as posture, hydration status, and sodium intake.","Regulates blood pressure, supports adrenal, kidney, and electrolyte assessment.",THYROCARE
ALDOSTERONE,ALDOS,HORMONES,"VITAL ORGANS (KIDNEY), CARDIOVASCULAR, METABOLIC HEALTH, INFLAMMAGING",ALL,ALL,10,120,gt,30,,,HIGH,ORANGE,15-30,ng/dL,,ALDOS_HIGH,"High aldosterone indicates overactive RAAS, often from primary hyperaldosteronism (Conn’s syndrome), secondary hyperaldosteronism (renal artery stenosis, heart failure), or excessive sodium retention. Clinically, this may cause hypertension, hypokalemia, METABOLIC HEALTH alkalosis, and vascular remodeling, contributing to increased risk of cardiovascular and renal complications.","Regulates blood pressure, supports adrenal, kidney, and electrolyte assessment.",THYROCARE
ALKALINE PHOSPHATASE,ALKP,VITAL ORGANS (LIVER),"MUSCULOSKELETAL SYSTEM, NUTRITION, CELLULAR HEALTH",ALL,ALL,10,120,between,45,129,,OPTIMAL,GREEN,45-129,U/L,,ALKP_OPTIMAL,"An optimal ALP reflects healthy bone turnover and intact hepatobiliary function. In adolescents, this means physiologically elevated values during growth. In adults, stable mid-range values indicate balanced bone remodeling and normal liver enzyme activity, supporting skeletal integrity, METABOLIC HEALTH balance, and efficient bile flow.","Evaluates liver and bone health, aids disorder detection.",THYROCARE
ALKALINE PHOSPHATASE,ALKP,VITAL ORGANS (LIVER),"MUSCULOSKELETAL SYSTEM, NUTRITION, CELLULAR HEALTH",ALL,ALL,10,120,gt,129,,,HIGH,ORANGE,45-129,U/L,,ALKP_HIGH,"High ALP can be physiologic in adolescents due to rapid bone growth. In adults and elderly, high ALP may suggest liver disease (cholestasis, hepatitis, biliary obstruction), bone disease (Paget’s disease, osteoporosis, metastases), or vitamin D deficiency. Persistent or very high values require differentiation of hepatic vs. bone origin.","Evaluates liver and bone health, aids disorder detection.",THYROCARE
ALKALINE PHOSPHATASE,ALKP,VITAL ORGANS (LIVER),"MUSCULOSKELETAL SYSTEM, NUTRITION, CELLULAR HEALTH",ALL,ALL,10,120,lt,,45,,LOW,ORANGE,45-129,U/L,,ALKP_LOW,"Low ALP may reflect impaired bone formation, malnutrition, zinc or magnesium deficiency, hypothyroidism, or rare inherited conditions such as hypophosphatasia. In adults and elderly, it can indicate reduced osteoblastic activity, poor bone turnover, or advanced METABOLIC HEALTH/endocrine dysfunction, raising concerns for osteoporosis or impaired skeletal integrity.","Evaluates liver and bone health, aids disorder detection.",THYROCARE
LYMPHOCYTES - ABSOLUTE COUNT,ALYM,IMMUNITY,"INFLAMMAGING, CELLULAR HEALTH, HORMONES",ALL,ALL,10,120,between,1,3,,OPTIMAL,GREEN,1-3,X 10³ / µL,,ALYM_OPTIMAL,"An optimal lymphocyte count reflects balanced adaptive immunity, with sufficient T- and B-cell function to mount defenses against pathogens while avoiding autoimmunity. It indicates healthy bone marrow output, nutritional adequacy, and stable immune regulation, supporting long-term resistance to infection and immune system resilience.","Measures lymphocyte count, diagnoses infections, immune, hematologic conditions.",THYROCARE
LYMPHOCYTES - ABSOLUTE COUNT,ALYM,IMMUNITY,"INFLAMMAGING, CELLULAR HEALTH, HORMONES",ALL,ALL,10,120,gt,3,,,HIGH,ORANGE,1-3,X 10³ / µL,,ALYM_HIGH,"High lymphocyte count (lymphocytosis) may indicate viral infection, autoimmune activation, or hematologic malignancy (e.g., chronic lymphocytic leukemia). Functionally, it reflects immune system hyperactivation or abnormal clonal expansion. Persistent lymphocytosis may stress immune regulation, drive inflammation, or signal underlying bone marrow disease requiring specialist evaluation.","Measures lymphocyte count, diagnoses infections, immune, hematologic conditions.",THYROCARE
LYMPHOCYTES - ABSOLUTE COUNT,ALYM,IMMUNITY,"INFLAMMAGING, CELLULAR HEALTH, HORMONES",ALL,ALL,10,120,lt,,1,,LOW,ORANGE,1-3,X 10³ / µL,,ALYM_LOW,"Low lymphocyte count (lymphocytopenia) may indicate acute infection, chronic stress, corticosteroid use, malnutrition, bone marrow suppression, or immunodeficiency. Functionally, it reflects compromised adaptive immune capacity, leaving the individual more susceptible to recurrent infections, slower recovery, and potential immune dysregulation if persistent.","Measures lymphocyte count, diagnoses infections, immune, hematologic conditions.",THYROCARE
ANTI MULLERIAN HORMONE (AMH),AMH,HORMONES,"METABOLIC HEALTH, CELLULAR HEALTH, INFLAMMAGING",MALE,ALL,10,120,between,0.77,14.5,,OPTIMAL,GREEN,0.77-14.5,ng/mL,,AMH_OPTIMAL,"Optimal AMH indicates healthy Sertoli cell activity and intact testicular function. It suggests appropriate reproductive potential, stable spermatogenesis, and balanced hormonal regulation. Clinically, this reflects adequate gonadal reserve and proper testicular development, supporting both fertility capacity and overall male endocrine health.","Indicates Sertoli cell function, evaluates fertility, ovarian and testicular health.",THYROCARE
ANTI MULLERIAN HORMONE (AMH),AMH,HORMONES,"METABOLIC HEALTH, CELLULAR HEALTH, INFLAMMAGING",MALE,ALL,10,120,lt,,0.77,,LOW,ORANGE,0.77-14.5,ng/mL,SERTOLI CELL DYSFUNCTION,AMH_LOW,"Low AMH in males suggests reduced Sertoli cell activity or impaired testicular function. It may indicate disorders of sex development, testicular failure, impaired spermatogenesis, or acquired testicular damage. Functionally, it reflects compromised fertility potential and may coexist with other hormonal imbalances affecting reproductive and endocrine health.","Indicates Sertoli cell function, evaluates fertility, ovarian and testicular health.",THYROCARE
ANTI MULLERIAN HORMONE (AMH),AMH,HORMONES,"METABOLIC HEALTH, CELLULAR HEALTH, INFLAMMAGING",MALE,ALL,10,120,gt,14.5,,,HIGH,ORANGE,0.77-14.5,ng/mL,,AMH_HIGH,"In males, persistently high AMH beyond expected prepubertal decline may suggest Sertoli‑cell overactivity, androgen insensitivity, or certain gonadal tumors. It may reflect disrupted feedback from testosterone.","Indicates Sertoli cell function, evaluates fertility, ovarian and testicular health.",THYROCARE
ANTI MULLERIAN HORMONE (AMH),AMH,HORMONES,"METABOLIC HEALTH, CELLULAR HEALTH, INFLAMMAGING",FEMALE,ALL,0,2,lt,,4.7,,OPTIMAL,GREEN,<4.7,ng/mL,,AMH_OPTIMAL,"Optimal AMH in this age group indicates healthy ovarian follicle recruitment and normal ovarian development. It reflects an adequate pool of resting follicles and proper granulosa cell activity. Clinically, it suggests intact ovarian reserve, appropriate gonadal differentiation, and no early evidence of ovarian dysfunction.","Indicates Sertoli cell function, evaluates fertility, ovarian and testicular health.",THYROCARE
ANTI MULLERIAN HORMONE (AMH),AMH,HORMONES,"METABOLIC HEALTH, CELLULAR HEALTH, INFLAMMAGING",FEMALE,ALL,0,2,gt,4.7,,,HIGH,ORANGE,<4.7,ng/mL,,AMH_HIGH,High AMH in infants is uncommon; may suggest early follicular pool expansion or ovarian hyperplasia. Could flag early endocrine dysregulation.,"Indicates Sertoli cell function, evaluates fertility, ovarian and testicular health.",THYROCARE
ANTI MULLERIAN HORMONE (AMH),AMH,HORMONES,"METABOLIC HEALTH, CELLULAR HEALTH, INFLAMMAGING",FEMALE,ALL,2,12,lt,,8.8,,OPTIMAL,GREEN,<8.8,ng/mL,,AMH_OPTIMAL,"Optimal AMH during childhood indicates intact ovarian follicle pool and normal granulosa cell function. It reflects stable ovarian reserve before puberty, when follicle activity is quiescent but measurable. Clinically, it suggests appropriate ovarian development and absence of gonadal dysfunction or premature follicle depletion.","Indicates Sertoli cell function, evaluates fertility, ovarian and testicular health.",THYROCARE
ANTI MULLERIAN HORMONE (AMH),AMH,HORMONES,"METABOLIC HEALTH, CELLULAR HEALTH, INFLAMMAGING",FEMALE,ALL,2,12,gt,8.8,,,HIGH,ORANGE,<8.8,ng/mL,,AMH_HIGH,High AMH prepubertally may suggest increased primordial follicle activation or underlying ovarian hyperandrogenism risks.,"Indicates Sertoli cell function, evaluates fertility, ovarian and testicular health.",THYROCARE
ANTI MULLERIAN HORMONE (AMH),AMH,HORMONES,"METABOLIC HEALTH, CELLULAR HEALTH, INFLAMMAGING",FEMALE,ALL,12,20,between,0.9,9.5,,OPTIMAL,GREEN,0.9-9.5,ng/mL,,AMH_OPTIMAL,"Optimal AMH in adolescence reflects healthy granulosa cell activity and a robust ovarian reserve. It indicates adequate follicle recruitment and ovarian responsiveness as puberty progresses. Clinically, it signifies intact reproductive potential, balanced gonadal development, and absence of premature ovarian compromise or follicular depletion.","Indicates Sertoli cell function, evaluates fertility, ovarian and testicular health.",THYROCARE
ANTI MULLERIAN HORMONE (AMH),AMH,HORMONES,"METABOLIC HEALTH, CELLULAR HEALTH, INFLAMMAGING",FEMALE,ALL,12,20,lt,,0.9,,LOW,ORANGE,0.9-9.5,ng/mL,DIMINISHED OVARIAN RESERVE,AMH_LOW,"Low AMH in this age group may indicate reduced ovarian reserve, impaired follicle pool, or early gonadal dysfunction. It may be associated with primary ovarian insufficiency, genetic conditions, chemotherapy/radiation exposure, or autoimmune disease. Functionally, it raises concern for future fertility and hormonal health.","Indicates Sertoli cell function, evaluates fertility, ovarian and testicular health.",THYROCARE
